tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone
Tr_tweet_49,neutral,0.7118,,0.0,Virgin America,KSmithFoundHere,0.0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,2015-02-23 15:24:09 -0800,,Atlantic Time (Canada)
Tr_tweet_50,neutral,1.0,,,Virgin America,papamurat,0.0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,2015-02-23 15:19:41 -0800,,
Tr_tweet_51,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,murphicus,0.0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt, the page never loads. thx!,,2015-02-23 15:05:09 -0800
Tr_tweet_52,positive,1.0,,,Virgin America,VinnieFerra,0.0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,2015-02-23 15:04:29 -0800,"brooklyn, Ny",Pacific Time (US & Canada)
Tr_tweet_53,positive,0.635,,,Virgin America,KevinDemsi,0.0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,2015-02-23 14:40:33 -0800,"Bali, Republic of Indonesia",Kuala Lumpur
Tr_tweet_54,neutral,0.7007,,,Virgin America,giffgaffman,0.0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,2015-02-23 14:40:19 -0800,"UK, USA. ",
Tr_tweet_55,negative,1.0,Customer Service Issue,1.0,Virgin America,rachie1126,0.0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,2015-02-23 14:35:50 -0800,"New York, NY",Eastern Time (US & Canada)
Tr_tweet_56,neutral,0.6858,,,Virgin America,adawson66,0.0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",2015-02-23 14:30:13 -0800,,
Tr_tweet_57,neutral,1.0,,,Virgin America,SocialPLC,0.0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",2015-02-23 14:26:53 -0800,"Twin Cities, Minn.",Eastern Time (US & Canada)
Tr_tweet_58,positive,1.0,,,Virgin America,jeffreymace01,0.0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,2015-02-23 14:25:09 -0800,,
Tr_tweet_59,neutral,0.6814,,0.0,Virgin America,1stcrown,0.0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,2015-02-23 14:09:06 -0800,USA,Central Time (US & Canada)
Tr_tweet_60,negative,1.0,Customer Service Issue,1.0,Virgin America,onerockgypsy,0.0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,2015-02-23 13:46:30 -0800,next city,Pacific Time (US & Canada)
Tr_tweet_61,negative,1.0,Late Flight,0.6789,Virgin America,noelduan,0.0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",2015-02-23 13:35:23 -0800,SF ↔ NY,Eastern Time (US & Canada)
Tr_tweet_62,positive,0.6922,,,Virgin America,Travelzoo,0.0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,2015-02-23 13:30:10 -0800,"New York, NY",Pacific Time (US & Canada)
Tr_tweet_63,negative,1.0,Lost Luggage,1.0,Virgin America,gianagon,0.0,@VirginAmerica everything was fine until you lost my bag,2015-02-23 13:08:21 -0800,New York + Panama,Eastern Time (US & Canada)
Tr_tweet_64,neutral,1.0,,,Virgin America,bxchen,0.0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,2015-02-23 12:47:52 -0800,"San Francisco, CA",Eastern Time (US & Canada)
Tr_tweet_65,neutral,0.6492,,0.0,Virgin America,seimatrun,0.0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,2015-02-23 12:00:17 -0800,Los Angeles,
Tr_tweet_66,neutral,1.0,,,Virgin America,jamied7,0.0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",2015-02-23 11:56:37 -0800,"London, England",London
Tr_tweet_67,negative,1.0,Flight Attendant Complaints,0.3516,Virgin America,seimatrun,0.0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,2015-02-23 11:46:16 -0800,Los Angeles,
Tr_tweet_68,positive,1.0,,,Virgin America,mrmichaellay,0.0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",2015-02-23 11:32:31 -0800,Floridian from Cincinnati ,Eastern Time (US & Canada)
Tr_tweet_69,positive,1.0,,,Virgin America,TaylorLumsden,0.0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,2015-02-23 11:28:46 -0800,"Dallas, Texas",Mountain Time (US & Canada)
Tr_tweet_70,neutral,1.0,,,Virgin America,TaylorLumsden,0.0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,2015-02-23 11:22:16 -0800,"Dallas, Texas",Mountain Time (US & Canada)
Tr_tweet_71,negative,1.0,Customer Service Issue,1.0,Virgin America,meme_meng,0.0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,2015-02-23 11:02:02 -0800,,
Tr_tweet_72,neutral,1.0,,,Virgin America,kyle_romanoff,0.0,@VirginAmerica what happened to Doom?!,2015-02-23 10:58:43 -0800,,
Tr_tweet_73,negative,1.0,Customer Service Issue,1.0,Virgin America,GunsNDip,0.0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,2015-02-23 10:56:25 -0800,,Pacific Time (US & Canada)
Tr_tweet_74,positive,1.0,,,Virgin America,artisticwritr87,0.0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,2015-02-23 10:56:16 -0800,"Seattle, WA",Pacific Time (US & Canada)
Tr_tweet_75,negative,0.6792,Late Flight,0.3477,Virgin America,arieldaie,0.0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,2015-02-23 10:54:47 -0800,Los Angeles,
Tr_tweet_76,negative,1.0,Can't Tell,1.0,Virgin America,GunsNDip,0.0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,2015-02-23 10:54:36 -0800,,Pacific Time (US & Canada)
Tr_tweet_77,negative,1.0,Can't Tell,1.0,Virgin America,GunsNDip,0.0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,2015-02-23 10:38:14 -0800,,Pacific Time (US & Canada)
Tr_tweet_78,neutral,0.6705,,0.0,Virgin America,serenaklal,0.0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,2015-02-23 10:15:00 -0800,Chicago,Eastern Time (US & Canada)
Tr_tweet_79,neutral,1.0,,,Virgin America,openambit1,0.0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,2015-02-23 10:09:30 -0800,,
Tr_tweet_80,neutral,0.6545,,0.0,Virgin America,cabowine,0.0,@VirginAmerica I &lt,,2015-02-23 10:04:47 -0800,"Los Cabos,Mexico"
Tr_tweet_81,neutral,1.0,,,Virgin America,RamotControl,0.0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",2015-02-23 09:45:23 -0800,,Pacific Time (US & Canada)
Tr_tweet_82,neutral,0.6639,,0.0,Virgin America,losermelon,0.0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",2015-02-23 09:35:03 -0800,,
Tr_tweet_83,negative,1.0,Cancelled Flight,1.0,Virgin America,AlisonK33774854,0.0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,2015-02-23 09:29:00 -0800,,
Tr_tweet_84,negative,1.0,Late Flight,1.0,Virgin America,GunsNDip,0.0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",2015-02-23 09:28:26 -0800,,Pacific Time (US & Canada)
Tr_tweet_85,neutral,0.6765,,0.0,Virgin America,yazdanagh,0.0,@VirginAmerica why is flight 345 redirected?,2015-02-23 09:26:37 -0800,,
Tr_tweet_86,negative,1.0,Customer Service Issue,0.6863,Virgin America,MerchEngines,0.0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",2015-02-23 09:25:41 -0800,"Los Angeles, CA",Arizona
Tr_tweet_87,negative,1.0,Customer Service Issue,0.6771,Virgin America,ColorCartel,0.0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,2015-02-23 09:18:42 -0800,"Austin, TX",Mountain Time (US & Canada)
Tr_tweet_88,negative,1.0,Flight Booking Problems,0.6714,Virgin America,mattbunk,0.0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,2015-02-23 08:29:21 -0800,"Sterling Heights, MI",Eastern Time (US & Canada)
Tr_tweet_89,negative,1.0,Customer Service Issue,1.0,Virgin America,louisjenny,0.0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,2015-02-23 08:19:59 -0800,Washington DC,Quito
Tr_tweet_90,neutral,1.0,,,Virgin America,STravelsW,0.0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,2015-02-23 08:19:49 -0800,"Manhattan Beach, CA",
Tr_tweet_91,negative,1.0,Late Flight,0.6882,Virgin America,GunsNDip,0.0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,2015-02-23 08:11:03 -0800,,Pacific Time (US & Canada)
Tr_tweet_92,neutral,1.0,,,Virgin America,joeyrenagade,0.0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,2015-02-23 08:08:08 -0800,Greater Los Angeles,
Tr_tweet_93,negative,0.6925,Late Flight,0.3521,Virgin America,mrmichaellay,0.0,@virginamerica how's a direct flight FLL-&gt,"[0.0, 0.0]",2015-02-23 08:08:01 -0800,Floridian from Cincinnati 
Tr_tweet_94,negative,1.0,Late Flight,0.3486,Virgin America,GunsNDip,0.0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,2015-02-23 07:51:37 -0800,,Pacific Time (US & Canada)
Tr_tweet_95,positive,1.0,,,Virgin America,TheDuchessSF,0.0,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",2015-02-23 07:50:35 -0800,Online,Pacific Time (US & Canada)
Tr_tweet_96,negative,1.0,Customer Service Issue,1.0,Virgin America,BeLeather,0.0,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,2015-02-23 07:40:39 -0800,,Pacific Time (US & Canada)
Tr_tweet_97,negative,1.0,Flight Booking Problems,0.6366,Virgin America,BeLeather,0.0,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,2015-02-23 07:40:05 -0800,,Pacific Time (US & Canada)
Tr_tweet_98,neutral,0.6593,,0.0,Virgin America,drcaseydrake,0.0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,2015-02-23 07:28:43 -0800,"Dallas, TX",
Tr_tweet_99,positive,0.6823,,0.0,Virgin America,flyfromWAS,0.0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",2015-02-23 06:57:25 -0800,"Washington, DC",Eastern Time (US & Canada)
Tr_tweet_100,neutral,1.0,,,Virgin America,flyfromSEA,0.0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",2015-02-23 06:57:24 -0800,Seattle,Central Time (US & Canada)
Tr_tweet_101,positive,0.6806,,,Virgin America,flyfromNYC,0.0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",2015-02-23 06:57:24 -0800,"New York City, NY",Central Time (US & Canada)
Tr_tweet_102,neutral,0.6529,,,Virgin America,flyfromLAX,0.0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",2015-02-23 06:57:24 -0800,"Los Angeles, CA",Central Time (US & Canada)
Tr_tweet_103,positive,0.6779999999999999,,,Virgin America,Silvanabfer,0.0,@VirginAmerica Have a great week 🌞✈,2015-02-23 06:51:01 -0800,,
Tr_tweet_104,positive,0.3482,,0.0,Virgin America,AdamJdubs,0.0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,2015-02-23 06:07:54 -0800,Earth,Eastern Time (US & Canada)
Tr_tweet_105,negative,1.0,Late Flight,1.0,Virgin America,nicholas_v,0.0,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2015-02-23 05:15:06 -0800,,Eastern Time (US & Canada)
Tr_tweet_106,positive,1.0,,,Virgin America,tstashajones,0.0,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",2015-02-23 03:01:39 -0800,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
Tr_tweet_107,positive,1.0,,,Virgin America,SkateMamas,0.0,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,2015-02-23 00:35:42 -0800,"Los Angeles, CA",
Tr_tweet_108,positive,1.0,,,Virgin America,dngoo,0.0,@VirginAmerica your beautiful front-end design is down right now,,2015-02-23 00:21:40 -0800,"Near a park, water, or lights"
Tr_tweet_109,positive,1.0,,,Virgin America,SamBrittenham,0.0,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",2015-02-23 00:06:55 -0800,USA,Eastern Time (US & Canada)
Tr_tweet_110,negative,0.6832,Customer Service Issue,0.3773,Virgin America,usagibrian,0.0,@VirginAmerica Use another browser! 2015 &amp,,2015-02-22 22:39:18 -0800,San Francisco CA
Tr_tweet_111,negative,1.0,Flight Booking Problems,0.6767,Virgin America,usagibrian,0.0,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",2015-02-22 22:11:07 -0800,San Francisco CA,Pacific Time (US & Canada)
Tr_tweet_112,negative,1.0,Customer Service Issue,0.6527,Virgin America,KindofLuke,0.0,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,2015-02-22 21:56:44 -0800,,
Tr_tweet_113,positive,1.0,,,Virgin America,ptbrodie,0.0,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,2015-02-22 20:23:27 -0800,San Francisco,
Tr_tweet_114,positive,1.0,,,Virgin America,cheryleng,0.0,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,2015-02-22 17:48:33 -0800,,Pacific Time (US & Canada)
Tr_tweet_115,neutral,1.0,,,Virgin America,HishamSharaby,0.0,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",2015-02-22 17:45:25 -0800,New York,Eastern Time (US & Canada)
Tr_tweet_116,negative,0.6703,Customer Service Issue,0.6703,Virgin America,ChrisFordisHere,0.0,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2015-02-22 17:14:06 -0800,NYC,Tehran
Tr_tweet_117,positive,1.0,,,Virgin America,JKF1897,0.0,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,2015-02-22 16:18:33 -0800,,
Tr_tweet_118,neutral,1.0,,,Virgin America,F6x,0.0,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt,"[40.64662464, -73.77090177]",2015-02-22 16:05:07 -0800,"San Francisco, CA"
Tr_tweet_119,neutral,0.6535,,0.0,Virgin America,lawyang588,0.0,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,2015-02-22 15:41:51 -0800,,
Tr_tweet_120,negative,1.0,Customer Service Issue,0.6448,Virgin America,melokudo,0.0,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,2015-02-22 15:40:12 -0800,,Eastern Time (US & Canada)
Tr_tweet_121,negative,1.0,Can't Tell,1.0,Virgin America,ChrysiChrysic,0.0,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,2015-02-22 15:06:19 -0800,,
Tr_tweet_122,neutral,1.0,,,Virgin America,nikkisixxfan93,0.0,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,2015-02-22 15:03:35 -0800,"Sacramento,California",Pacific Time (US & Canada)
